fecha_hora,metal,simbolo,divisa,precio_general,precio_compra,precio_venta
2025-10-08 06:56:36,Oro                           ,XAU       ,USD       ,4032.2076619204,4032.2076619204,4032.2076619204
2025-10-08 06:56:36,Paladio                       ,XPD       ,USD       ,1404.973296375,1404.973296375,1404.973296375
2025-10-08 06:56:36,Plata                         ,XAG       ,USD       ,48.6252846725,48.6252846725,48.6252846725
2025-10-08 06:56:36,Platino                       ,XPT       ,USD       ,1665.0216253009,1665.0216253009,1665.0216253009
2025-10-08 06:46:36,Oro                           ,XAU       ,USD       ,4030.3582706378,4030.3582706378,4030.3582706378
2025-10-08 06:46:36,Paladio                       ,XPD       ,USD       ,1406.4250559687,1406.4250559687,1406.4250559687
2025-10-08 06:46:36,Plata                         ,XAG       ,USD       ,48.6282103433,48.6282103433,48.6282103433
2025-10-08 06:46:36,Platino                       ,XPT       ,USD       ,1665.0745778578,1665.0745778578,1665.0745778578
2025-10-08 06:36:36,Oro                           ,XAU       ,USD       ,4029.2832187204,4029.2832187204,4029.2832187204
2025-10-08 06:36:36,Paladio                       ,XPD       ,USD       ,1401.1467825957,1401.1467825957,1401.1467825957
2025-10-08 06:36:36,Plata                         ,XAG       ,USD       ,48.6238348544,48.6238348544,48.6238348544
2025-10-08 06:36:36,Platino                       ,XPT       ,USD       ,1668.685498005,1668.685498005,1668.685498005
2025-10-08 06:26:21,Oro                           ,XAU       ,USD       ,4024.1853539774,4024.1853539774,4024.1853539774
2025-10-08 06:26:21,Paladio                       ,XPD       ,USD       ,1395.4112737509,1395.4112737509,1395.4112737509
2025-10-08 06:26:21,Plata                         ,XAG       ,USD       ,48.5070356618,48.5070356618,48.5070356618
2025-10-08 06:26:21,Platino                       ,XPT       ,USD       ,1665.2145995359,1665.2145995359,1665.2145995359
2025-10-08 06:16:07,Oro                           ,XAU       ,USD       ,4025.8167577038,4025.8167577038,4025.8167577038
2025-10-08 06:16:07,Paladio                       ,XPD       ,USD       ,1400.2756582661,1400.2756582661,1400.2756582661
